Time = 0   | Reset = 1 | Count = 0  | Binary = 0000
Time = 10  | Reset = 0 | Count = 1  | Binary = 0001
Time = 20  | Reset = 0 | Count = 2  | Binary = 0010
Time = 30  | Reset = 0 | Count = 3  | Binary = 0011
Time = 40  | Reset = 0 | Count = 4  | Binary = 0100
Time = 50  | Reset = 0 | Count = 5  | Binary = 0101
Time = 60  | Reset = 0 | Count = 6  | Binary = 0110
Time = 70  | Reset = 0 | Count = 7  | Binary = 0111
Time = 80  | Reset = 0 | Count = 8  | Binary = 1000
Time = 90  | Reset = 0 | Count = 9  | Binary = 1001
Time = 100 | Reset = 0 | Count = 10 | Binary = 1010
Time = 110 | Reset = 0 | Count = 11 | Binary = 1011
Time = 120 | Reset = 0 | Count = 12 | Binary = 1100
Time = 130 | Reset = 0 | Count = 13 | Binary = 1101
Time = 140 | Reset = 0 | Count = 14 | Binary = 1110
Time = 150 | Reset = 0 | Count = 15 | Binary = 1111
Time = 160 | Reset = 0 | Count = 0  | Binary = 0000
Time = 170 | Reset = 0 | Count = 1  | Binary = 0001
